x;Sec(x)
-5.550000000000;1.345810900728
-5.500000000000;1.411094470623
-5.450000000000;1.486940641414
-5.400000000000;1.575565187359
-5.350000000000;1.679888655938
-5.300000000000;1.803835305387
-5.250000000000;1.952798984627
-5.200000000000;2.134395767016
-5.150000000000;2.359732666539
-5.100000000000;2.645658426394
-5.050000000000;3.019014475585
-5.000000000000;3.525320085816
-4.950000000000;4.248423271811
-4.900000000000;5.361574693948
-4.850000000000;7.289845840062
-4.800000000000;11.428704205372
-4.750000000000;26.594221957956
-4.700000000000;-80.718957536796
-4.650000000000;-16.038874483080
-4.600000000000;-8.916428611359
-4.550000000000;-6.185201649039
-4.500000000000;-4.743927548368
-4.450000000000;-3.855220987998
-4.400000000000;-3.253801001077
-4.350000000000;-2.820802339323
-4.300000000000;-2.495015133915
-4.250000000000;-2.241712719165
-4.200000000000;-2.039730601490
-4.150000000000;-1.875438069382
-4.100000000000;-1.739663084726
-4.050000000000;-1.626009976824
-4.000000000000;-1.529885656466
-3.950000000000;-1.447909088945
-3.900000000000;-1.377538916803
-3.850000000000;-1.316830707080
-3.800000000000;-1.264274109975
-3.750000000000;-1.218680880371
-3.700000000000;-1.179106193384
-3.650000000000;-1.144792302796
-3.600000000000;-1.115127532438
-3.550000000000;-1.089616006785
-3.500000000000;-1.067855047192
-3.450000000000;-1.049518139644
-3.400000000000;-1.034342024712
-3.350000000000;-1.022116893877
-3.300000000000;-1.012678973761
-3.250000000000;-1.005904988112
-3.200000000000;-1.001708136962
-3.150000000000;-1.000035342778
-3.100000000000;-1.000865598339
-3.050000000000;-1.004209319562
-3.000000000000;-1.010108665908
-2.950000000000;-1.018638846837
-2.900000000000;-1.029910490371
-2.850000000000;-1.044073214584
-2.800000000000;-1.061320621299
-2.750000000000;-1.081897031878
-2.700000000000;-1.106106419526
-2.650000000000;-1.134324178364
-2.600000000000;-1.167012632700
-2.550000000000;-1.204741570936
-2.500000000000;-1.248215651469
-2.450000000000;-1.298311376935
-2.400000000000;-1.356127641076
-2.350000000000;-1.423055914359
-2.300000000000;-1.500879467460
-2.250000000000;-1.591916571832
-2.200000000000;-1.699232118137
-2.150000000000;-1.826958975942
-2.100000000000;-1.980801655967
-2.050000000000;-2.168855407623
-2.000000000000;-2.402997961720
-1.950000000000;-2.701382446920
-1.900000000000;-3.093202201665
-1.850000000000;-3.628575435897
-1.800000000000;-4.401367871854
-1.750000000000;-5.610222320805
-1.700000000000;-7.761293996054
-1.650000000000;-12.638887341671
-1.600000000000;-34.247135610185
-1.550000000000;48.088881017707
-1.500000000000;14.136832902988
-1.450000000000;8.298564466613
-1.400000000000;5.883490084829
-1.350000000000;4.566070622196
-1.300000000000;3.738334127076
-1.250000000000;3.171357693761
-1.200000000000;2.759703601328
-1.150000000000;2.448055680328
-1.100000000000;2.204604388716
-1.050000000000;2.009763237304
-1.000000000000;1.850815717681
-0.950000000000;1.719149169218
-0.900000000000;1.608725810466
-0.850000000000;1.515190207864
-0.800000000000;1.435324199672
-0.750000000000;1.366701124674
-0.700000000000;1.307459259735
-0.650000000000;1.256149166486
-0.600000000000;1.211628314513
-0.550000000000;1.172986787036
-0.500000000000;1.139493927325
-0.450000000000;1.110559406974
-0.400000000000;1.085704428383
-0.350000000000;1.064540183384
-0.300000000000;1.046751601538
-0.250000000000;1.032085023984
-0.200000000000;1.020338844941
-0.150000000000;1.011356442673
-0.100000000000;1.005020918400
-0.050000000000;1.001251303408
0.000000000000;1.000000000000
0.050000000000;1.001251303408
0.100000000000;1.005020918400
0.150000000000;1.011356442674
0.200000000000;1.020338844942
0.250000000000;1.032085023985
0.300000000000;1.046751601538
0.350000000000;1.064540183384
0.400000000000;1.085704428383
0.450000000000;1.110559406974
0.500000000000;1.139493927325
0.550000000000;1.172986787036
0.600000000000;1.211628314512
0.650000000000;1.256149166485
0.700000000000;1.307459259733
0.750000000000;1.366701124672
0.800000000000;1.435324199672
0.850000000000;1.515190207864
0.900000000000;1.608725810468
0.950000000000;1.719149169219
1.000000000000;1.850815717681
1.050000000000;2.009763237305
1.100000000000;2.204604388717
1.150000000000;2.448055680330
1.200000000000;2.759703601329
1.250000000000;3.171357693769
1.300000000000;3.738334127075
1.350000000000;4.566070622196
1.400000000000;5.883490084839
1.450000000000;8.298564466611
1.500000000000;14.136832902972
1.550000000000;48.088881017408
1.600000000000;-34.247135610004
1.650000000000;-12.638887341655
1.700000000000;-7.761293996052
1.750000000000;-5.610222320820
1.800000000000;-4.401367871853
1.850000000000;-3.628575435896
1.900000000000;-3.093202201671
1.950000000000;-2.701382446919
2.000000000000;-2.402997961722
2.050000000000;-2.168855407624
2.100000000000;-1.980801655967
2.150000000000;-1.826958975943
2.200000000000;-1.699232118138
2.250000000000;-1.591916571832
2.300000000000;-1.500879467460
2.350000000000;-1.423055914359
2.400000000000;-1.356127641074
2.450000000000;-1.298311376934
2.500000000000;-1.248215651468
2.550000000000;-1.204741570935
2.600000000000;-1.167012632700
2.650000000000;-1.134324178364
2.700000000000;-1.106106419526
2.750000000000;-1.081897031878
2.800000000000;-1.061320621299
2.850000000000;-1.044073214585
2.900000000000;-1.029910490372
2.950000000000;-1.018638846838
3.000000000000;-1.010108665908
3.050000000000;-1.004209319562
3.100000000000;-1.000865598339
3.150000000000;-1.000035342778
3.200000000000;-1.001708136962
3.250000000000;-1.005904988112
3.300000000000;-1.012678973760
3.350000000000;-1.022116893876
3.400000000000;-1.034342024711
3.450000000000;-1.049518139644
3.500000000000;-1.067855047192
3.550000000000;-1.089616006785
3.600000000000;-1.115127532438
3.650000000000;-1.144792302796
3.700000000000;-1.179106193385
3.750000000000;-1.218680880372
3.800000000000;-1.264274109976
3.850000000000;-1.316830707081
3.900000000000;-1.377538916803
3.950000000000;-1.447909088945
4.000000000000;-1.529885656466
4.050000000000;-1.626009976822
4.100000000000;-1.739663084725
4.150000000000;-1.875438069382
4.200000000000;-2.039730601489
4.250000000000;-2.241712719163
4.300000000000;-2.495015133912
4.350000000000;-2.820802339321
4.400000000000;-3.253801001068
4.450000000000;-3.855220987999
4.500000000000;-4.743927548369
4.550000000000;-6.185201649033
4.600000000000;-8.916428611365
4.650000000000;-16.038874483299
4.700000000000;-80.718957537902
4.750000000000;26.594221958050
4.800000000000;11.428704205381
4.850000000000;7.289845840061
4.900000000000;5.361574693926
4.950000000000;4.248423271811
5.000000000000;3.525320085816
5.050000000000;3.019014475580
5.100000000000;2.645658426396
5.150000000000;2.359732666537
5.200000000000;2.134395767015
5.250000000000;1.952798984626
5.300000000000;1.803835305386
5.350000000000;1.679888655937
5.400000000000;1.575565187359
5.450000000000;1.486940641414
5.500000000000;1.411094470623
5.550000000000;1.345810900730
5.600000000000;1.289381118625
5.650000000000;1.240468849432
5.700000000000;1.198016872586
5.750000000000;1.161180683982
5.800000000000;1.129280587123
5.850000000000;1.101766564789
5.900000000000;1.078192189545
5.950000000000;1.058195045711
6.000000000000;1.041481926595
6.050000000000;1.027817597230
6.100000000000;1.017016270332
6.150000000000;1.008935191023
6.200000000000;1.003469901560
6.250000000000;1.000550885083
6.300000000000;1.000141383603
6.350000000000;1.002236261037
6.400000000000;1.006861845275
6.450000000000;1.014076740171
6.500000000000;1.023973654443
6.550000000000;1.036682354926
6.600000000000;1.052373922409
6.650000000000;1.071266576663
6.700000000000;1.093633453252
6.750000000000;1.119812872492
6.800000000000;1.150221861806
6.850000000000;1.185374009036
6.900000000000;1.225903187049
6.950000000000;1.272595380746
7.000000000000;1.326431900474
7.050000000000;1.388648906419
7.100000000000;1.460820786984
7.150000000000;1.544979225107
7.200000000000;1.643787029161
7.250000000000;1.760798442880
7.300000000000;1.900860551841
7.350000000000;2.070753755966
7.400000000000;2.280255600988
7.450000000000;2.543994741183
7.500000000000;2.884876262018
7.550000000000;3.340887588713
7.600000000000;3.979943590359
7.650000000000;4.936564843666
7.700000000000;6.520015775269
7.750000000000;9.634435115654
7.800000000000;18.533819022571
7.850000000000;251.153834995278
7.900000000000;-21.738125925619
7.950000000000;-10.430694497370
8.000000000000;-6.872850636695
8.050000000000;-5.134379550554
8.100000000000;-4.106031635992
8.150000000000;-3.428014241196
8.200000000000;-2.948505579718
8.250000000000;-2.592366420939
8.300000000000;-2.318158732113
8.350000000000;-2.101160211144
8.400000000000;-1.925711243780
8.450000000000;-1.781414009539
8.500000000000;-1.661096725067
8.550000000000;-1.559655414845
8.600000000000;-1.473361519154
8.650000000000;-1.399430525247
8.700000000000;-1.335743646059
8.750000000000;-1.280662774983
8.800000000000;-1.232904220185
8.850000000000;-1.191450578060
8.900000000000;-1.155488001091
8.950000000000;-1.124360769842
9.000000000000;-1.097537906305
9.050000000000;-1.074588330280
9.100000000000;-1.055162188718
9.150000000000;-1.038976725646
9.200000000000;-1.025805552854
9.250000000000;-1.015470517179
9.300000000000;-1.007835593739
9.350000000000;-1.002802400637
9.400000000000;-1.000307052217
9.450000000000;-1.000318159963
9.500000000000;-1.002835863182
9.550000000000;-1.007891833280
9.600000000000;-1.015550251905
9.650000000000;-1.025909819616
9.700000000000;-1.039106913559
9.750000000000;-1.055320085762
9.800000000000;-1.074776185907
9.850000000000;-1.097758514313
9.900000000000;-1.124617577500
9.950000000000;-1.155785252982
10.000000000000;-1.191793506688
