x;Csc(x)
-3.150000000000;118.944995472317
-3.100000000000;-24.049640902355
-3.050000000000;-10.933186590940
-3.000000000000;-7.086167395739
-2.950000000000;-5.251476197073
-2.900000000000;-4.179740036411
-2.850000000000;-3.478526903158
-2.800000000000;-2.985180220651
-2.750000000000;-2.620126292240
-2.700000000000;-2.339838738904
-2.650000000000;-2.118506987423
-2.600000000000;-1.939859047254
-2.550000000000;-1.793131068408
-2.500000000000;-1.670921545559
-2.450000000000;-1.567976397334
-2.400000000000;-1.480465595747
-2.350000000000;-1.405534017651
-2.300000000000;-1.341012485459
-2.250000000000;-1.285226125254
-2.200000000000;-1.236863881244
-2.150000000000;-1.194887614841
-2.100000000000;-1.158467503524
-2.050000000000;-1.126935325802
-2.000000000000;-1.099750170295
-1.950000000000;-1.076472944788
-1.900000000000;-1.056747233791
-1.850000000000;-1.040284818441
-1.800000000000;-1.026854682696
-1.750000000000;-1.016274676662
-1.700000000000;-1.008405248890
-1.650000000000;-1.003144830500
-1.600000000000;-1.000426578850
-1.550000000000;-1.000216282579
-1.500000000000;-1.002511304247
-1.450000000000;-1.007340499246
-1.400000000000;-1.014765106296
-1.350000000000;-1.024880661080
-1.300000000000;-1.037820045675
-1.250000000000;-1.053757858246
-1.200000000000;-1.072916377710
-1.150000000000;-1.095573516757
-1.100000000000;-1.122073318527
-1.050000000000;-1.152839779354
-1.000000000000;-1.188395105777
-0.950000000000;-1.229383991468
-0.900000000000;-1.276606213459
-0.850000000000;-1.331060936979
-0.800000000000;-1.394007819389
-0.750000000000;-1.467052724475
-0.700000000000;-1.552270326957
-0.650000000000;-1.652383448344
-0.600000000000;-1.771032196688
-0.550000000000;-1.913190039187
-0.500000000000;-2.085829642934
-0.450000000000;-2.299032731509
-0.400000000000;-2.567932455548
-0.350000000000;-2.916320776210
-0.300000000000;-3.383863361824
-0.250000000000;-4.041972501221
-0.200000000000;-5.033489547673
-0.150000000000;-6.691732447723
-0.100000000000;-10.016686131636
-0.050000000000;-20.008335764471
0.000000000000;NaN
0.050000000000;20.008335764465
0.100000000000;10.016686131634
0.150000000000;6.691732447723
0.200000000000;5.033489547672
0.250000000000;4.041972501221
0.300000000000;3.383863361824
0.350000000000;2.916320776210
0.400000000000;2.567932455548
0.450000000000;2.299032731509
0.500000000000;2.085829642934
0.550000000000;1.913190039186
0.600000000000;1.771032196688
0.650000000000;1.652383448344
0.700000000000;1.552270326957
0.750000000000;1.467052724475
0.800000000000;1.394007819389
0.850000000000;1.331060936979
0.900000000000;1.276606213459
0.950000000000;1.229383991468
1.000000000000;1.188395105777
1.050000000000;1.152839779354
1.100000000000;1.122073318527
1.150000000000;1.095573516757
1.200000000000;1.072916377710
1.250000000000;1.053757858246
1.300000000000;1.037820045675
1.350000000000;1.024880661080
1.400000000000;1.014765106296
1.450000000000;1.007340499246
1.500000000000;1.002511304247
1.550000000000;1.000216282579
1.600000000000;1.000426578850
1.650000000000;1.003144830500
1.700000000000;1.008405248890
1.750000000000;1.016274676662
1.800000000000;1.026854682696
1.850000000000;1.040284818441
1.900000000000;1.056747233791
1.950000000000;1.076472944788
2.000000000000;1.099750170295
2.050000000000;1.126935325802
2.100000000000;1.158467503524
2.150000000000;1.194887614841
2.200000000000;1.236863881244
2.250000000000;1.285226125254
2.300000000000;1.341012485459
2.350000000000;1.405534017651
2.400000000000;1.480465595747
2.450000000000;1.567976397334
2.500000000000;1.670921545559
2.550000000000;1.793131068408
2.600000000000;1.939859047254
2.650000000000;2.118506987423
2.700000000000;2.339838738904
2.750000000000;2.620126292240
2.800000000000;2.985180220651
2.850000000000;3.478526903159
2.900000000000;4.179740036411
2.950000000000;5.251476197074
3.000000000000;7.086167395740
3.050000000000;10.933186590942
3.100000000000;24.049640902364
3.150000000000;-118.944995472106
3.200000000000;-17.130872356909
3.250000000000;-9.242559791100
3.300000000000;-6.339317250030
3.350000000000;-4.833206720614
3.400000000000;-3.913264801899
3.450000000000;-3.294442302386
3.500000000000;-2.850763437535
3.550000000000;-2.517951944315
3.600000000000;-2.259782604740
3.650000000000;-2.054288059792
3.700000000000;-1.887375969267
3.750000000000;-1.749593555772
3.800000000000;-1.634366435087
3.850000000000;-1.536983345757
3.900000000000;-1.453982558820
3.950000000000;-1.382766069704
4.000000000000;-1.321348708812
4.050000000000;-1.268190199854
4.100000000000;-1.222079887704
4.150000000000;-1.182055870260
4.200000000000;-1.147347174682
4.250000000000;-1.117331721105
4.300000000000;-1.091505326587
4.350000000000;-1.069458578053
4.400000000000;-1.050859416387
4.450000000000;-1.035439940059
4.500000000000;-1.022986383671
4.550000000000;-1.013331533031
4.600000000000;-1.006349052516
4.650000000000;-1.001949353828
4.700000000000;-1.000076748326
4.750000000000;-1.000707711526
4.800000000000;-1.003850158026
4.850000000000;-1.009543684915
4.900000000000;-1.017860797713
4.950000000000;-1.028909190107
5.000000000000;-1.042835212772
5.050000000000;-1.059828743594
5.100000000000;-1.080129770124
5.150000000000;-1.104037126360
5.200000000000;-1.131920006902
5.250000000000;-1.164233137280
5.300000000000;-1.201536848933
5.350000000000;-1.244523852596
5.400000000000;-1.294055324880
5.450000000000;-1.351210185513
5.500000000000;-1.417353429361
5.550000000000;-1.494232582127
5.600000000000;-1.584116663238
5.650000000000;-1.690001130162
5.700000000000;-1.815918382900
5.750000000000;-1.967423103308
5.800000000000;-2.152379055264
5.850000000000;-2.382290900364
5.900000000000;-2.674678828785
5.950000000000;-3.057591432793
6.000000000000;-3.578899547254
6.050000000000;-4.327547045345
6.100000000000;-5.489603933583
6.150000000000;-7.530579299909
6.200000000000;-12.035229115756
6.250000000000;-30.139349389586
6.300000000000;59.474599658250
6.350000000000;14.977909488347
6.400000000000;8.580067116570
6.450000000000;6.022568762257
6.500000000000;4.648568498395
6.550000000000;3.792760783978
6.600000000000;3.209846643548
6.650000000000;2.788281439261
6.700000000000;2.470051120368
6.750000000000;2.222004595238
6.800000000000;2.023827119214
6.850000000000;1.862379113793
6.900000000000;1.728788478189
6.950000000000;1.616851137747
7.000000000000;1.522101062564
7.050000000000;1.441244196283
7.100000000000;1.371800371422
7.150000000000;1.311869241823
7.200000000000;1.259972899936
7.250000000000;1.214947431655
7.300000000000;1.175866579287
7.350000000000;1.141986996282
7.400000000000;1.112708347305
7.450000000000;1.087543823977
7.500000000000;1.066098107421
7.550000000000;1.048050751794
7.600000000000;1.033143585047
7.650000000000;1.021171142032
7.700000000000;1.011973432982
7.750000000000;1.005430552502
7.800000000000;1.001458779563
7.850000000000;1.000007926757
7.900000000000;1.001059780105
7.950000000000;1.004627538214
8.000000000000;1.010756218400
8.050000000000;1.019524053207
8.100000000000;1.031044958734
8.150000000000;1.045472221872
8.200000000000;1.063003633612
8.250000000000;1.083888398624
8.300000000000;1.108436289611
8.350000000000;1.137029706388
8.400000000000;1.170139571366
8.450000000000;1.208346387159
8.500000000000;1.252368365364
8.550000000000;1.303099416846
8.600000000000;1.361661154294
8.650000000000;1.429475206914
8.700000000000;1.508365629391
8.750000000000;1.600706990649
8.800000000000;1.709643710516
8.850000000000;1.839424009487
8.900000000000;1.995924894364
8.950000000000;2.187508991860
9.000000000000;2.426486643550
9.050000000000;2.731748492075
9.100000000000;3.133829934553
9.150000000000;3.685505033199
9.200000000000;4.486519742434
9.250000000000;5.750778995133
9.300000000000;8.035069962329
9.350000000000;13.385395312719
9.400000000000;40.362576291114
9.450000000000;-39.652068730073
9.500000000000;-13.306521497697
9.550000000000;-8.006723270082
9.600000000000;-5.736353261299
9.650000000000;-4.477823149918
9.700000000000;-3.679708915919
9.750000000000;-3.129702440284
9.800000000000;-2.728668347471
9.850000000000;-2.424106921558
9.900000000000;-2.185620873912
9.950000000000;-1.994395238100
10.000000000000;-1.838163960889
